timestamp,device,energy_kwh,temperature,occupancy
2025-01-01 14:45:00,Machinery,29.266,26.0,121
2025-01-01 15:00:00,HVAC,19.108,22.9,55
2025-01-01 15:15:00,Servers,15.786,22.1,52
2025-01-01 15:30:00,Machinery,44.607,23.4,108
2025-01-01 15:45:00,Lighting,3.602,22.8,60
2025-01-01 16:00:00,Lighting,6.89,22.3,52
2025-01-01 16:15:00,Servers,12.117,20.1,107
2025-01-01 16:30:00,Workstations,5.066,22.3,116
2025-01-01 16:45:00,Servers,14.592,22.4,136
2025-01-01 17:00:00,Servers,13.319,20.1,58
2025-01-01 17:15:00,Servers,12.999,19.8,96
2025-01-01 17:30:00,Lighting,1.766,23.0,150
2025-01-01 17:45:00,Lighting,5.182,21.0,65
2025-01-01 18:00:00,HVAC,24.943,23.1,40
2025-01-01 18:15:00,Machinery,34.049,23.2,116
2025-01-01 18:30:00,Servers,14.377,20.6,138
2025-01-01 18:45:00,Lighting,2.666,20.8,67
2025-01-01 19:00:00,Servers,12.691,19.6,3
2025-01-01 19:15:00,Servers,12.803,22.6,2
2025-01-01 19:30:00,Lighting,0.351,22.9,1
2025-01-01 19:45:00,Servers,13.04,22.2,1
2025-01-01 20:00:00,Workstations,0.23,23.3,5
2025-01-01 20:15:00,Servers,12.376,22.9,3
2025-01-01 20:30:00,Lighting,0.956,23.2,4
2025-01-01 20:45:00,Servers,15.239,21.2,1
2025-01-01 21:00:00,Lighting,0.291,21.2,4
2025-01-01 21:15:00,HVAC,9.695,16.0,2
2025-01-01 21:30:00,Machinery,0.0,26.4,3
2025-01-01 21:45:00,Servers,12.623,21.6,1
2025-01-01 22:00:00,Machinery,0.0,27.8,1
2025-01-01 22:15:00,HVAC,8.165,16.8,0
2025-01-01 22:30:00,Servers,14.632,20.0,5
2025-01-01 22:45:00,HVAC,7.15,19.5,1
2025-01-01 23:00:00,Workstations,0.57,21.5,5
2025-01-01 23:15:00,HVAC,6.087,18.4,1
2025-01-01 23:30:00,Workstations,0.22,21.2,2
2025-01-01 23:45:00,HVAC,2.24,15.9,5
2025-01-02 00:00:00,HVAC,8.802,19.8,3
2025-01-02 00:15:00,HVAC,4.346,19.2,5
2025-01-02 00:30:00,Lighting,0.35,23.3,0
2025-01-02 00:45:00,HVAC,3.869,20.0,2
2025-01-02 01:00:00,Servers,14.294,19.4,0
2025-01-02 01:15:00,Servers,15.118,20.5,4
2025-01-02 01:30:00,Servers,14.075,19.1,0
2025-01-02 01:45:00,Lighting,0.374,23.4,2
2025-01-02 02:00:00,HVAC,8.37,17.0,4
2025-01-02 02:15:00,Machinery,0.0,23.3,3
2025-01-02 02:30:00,Machinery,0.0,27.1,2
2025-01-02 02:45:00,Machinery,0.0,26.9,1
2025-01-02 03:00:00,Machinery,0.0,22.1,1
2025-01-02 03:15:00,HVAC,6.873,15.5,0
2025-01-02 03:30:00,Servers,12.407,22.6,1
2025-01-02 03:45:00,Machinery,0.0,24.7,5
2025-01-02 04:00:00,Servers,15.005,21.0,1
2025-01-02 04:15:00,Workstations,0.395,22.3,2
2025-01-02 04:30:00,Servers,12.21,19.8,5
2025-01-02 04:45:00,Machinery,0.0,23.8,4
2025-01-02 05:00:00,Workstations,0.462,20.5,1
2025-01-02 05:15:00,Lighting,0.468,23.2,2
2025-01-02 05:30:00,Machinery,0.0,26.9,2
2025-01-02 05:45:00,Lighting,0.865,21.2,0
2025-01-02 06:00:00,Machinery,0.0,27.3,2
2025-01-02 06:15:00,HVAC,8.699,16.0,1
2025-01-02 06:30:00,Workstations,0.761,20.5,2
2025-01-02 06:45:00,Machinery,0.0,26.3,4
2025-01-02 07:00:00,Lighting,0.307,20.7,2
2025-01-02 07:15:00,Machinery,0.0,25.8,2
2025-01-02 07:30:00,Machinery,0.0,22.6,4
2025-01-02 07:45:00,Lighting,0.688,23.4,0
2025-01-02 08:00:00,Machinery,48.803,24.4,42
2025-01-02 08:15:00,Lighting,5.495,23.3,110
2025-01-02 08:30:00,Servers,13.352,20.4,98
2025-01-02 08:45:00,Lighting,4.162,22.4,96
2025-01-02 09:00:00,Servers,14.171,22.6,44
2025-01-02 09:15:00,Lighting,6.461,22.0,26
2025-01-02 09:30:00,Machinery,44.474,27.1,32
2025-01-02 09:45:00,Lighting,3.853,22.9,62
2025-01-02 10:00:00,Servers,14.837,21.1,105
2025-01-02 10:15:00,Workstations,2.268,20.6,102
2025-01-02 10:30:00,Servers,14.566,20.7,70
2025-01-02 10:45:00,Workstations,6.402,21.1,23
2025-01-02 11:00:00,Servers,14.551,19.9,65
2025-01-02 11:15:00,HVAC,12.047,21.5,150
2025-01-02 11:30:00,Lighting,4.581,23.0,70
2025-01-02 11:45:00,Workstations,6.114,23.2,112
2025-01-02 12:00:00,Lighting,2.815,23.1,104
2025-01-02 12:15:00,Workstations,7.128,23.3,133
2025-01-02 12:30:00,Servers,15.391,20.9,145
2025-01-02 12:45:00,Lighting,5.739,21.4,146
2025-01-02 13:00:00,HVAC,20.437,24.8,61
2025-01-02 13:15:00,Workstations,1.075,21.6,141
2025-01-02 13:30:00,Machinery,49.922,24.6,110
2025-01-02 13:45:00,Lighting,4.239,21.6,120
2025-01-02 14:00:00,Workstations,2.997,22.7,130
2025-01-02 14:15:00,Machinery,30.385,26.6,62
2025-01-02 14:30:00,Lighting,2.025,23.2,44
2025-01-02 14:45:00,Servers,14.049,22.6,106
2025-01-02 15:00:00,Lighting,2.57,22.6,144
2025-01-02 15:15:00,Lighting,2.673,21.1,97
2025-01-02 15:30:00,HVAC,25.862,24.5,73
2025-01-02 15:45:00,Servers,14.628,19.3,94
2025-01-02 16:00:00,Lighting,6.436,22.9,22
2025-01-02 16:15:00,Workstations,1.106,22.8,99
2025-01-02 16:30:00,Machinery,20.723,23.2,57
2025-01-02 16:45:00,Machinery,45.485,27.0,66
2025-01-02 17:00:00,Workstations,2.453,23.4,108
2025-01-02 17:15:00,HVAC,19.812,23.4,88
2025-01-02 17:30:00,Lighting,3.57,23.4,142
2025-01-02 17:45:00,Workstations,5.369,21.4,143
2025-01-02 18:00:00,HVAC,20.187,24.4,42
2025-01-02 18:15:00,Lighting,5.784,20.5,63
2025-01-02 18:30:00,Machinery,46.287,22.9,116
2025-01-02 18:45:00,Lighting,7.021,21.3,52
2025-01-02 19:00:00,Workstations,0.407,22.7,2
2025-01-02 19:15:00,Servers,12.568,20.3,2
2025-01-02 19:30:00,Machinery,0.0,23.6,1
2025-01-02 19:45:00,Servers,14.794,20.5,3
2025-01-02 20:00:00,Workstations,0.273,22.3,4
2025-01-02 20:15:00,Lighting,0.186,22.1,2
2025-01-02 20:30:00,HVAC,9.705,19.4,1
2025-01-02 20:45:00,HVAC,9.301,16.8,3
2025-01-02 21:00:00,Servers,14.595,19.4,5
2025-01-02 21:15:00,Servers,12.977,21.8,2
2025-01-02 21:30:00,Lighting,0.896,23.1,1
2025-01-02 21:45:00,HVAC,6.558,16.7,1
2025-01-02 22:00:00,Workstations,0.755,22.1,3
2025-01-02 22:15:00,Lighting,0.443,21.7,5
2025-01-02 22:30:00,HVAC,5.165,18.2,1
2025-01-02 22:45:00,Lighting,0.47,23.4,0
2025-01-02 23:00:00,Workstations,0.764,22.8,5
2025-01-02 23:15:00,Lighting,0.43,23.1,4
2025-01-02 23:30:00,Machinery,0.0,23.1,4
2025-01-02 23:45:00,Lighting,0.415,21.2,1
2025-01-03 00:00:00,Lighting,0.51,21.5,2
2025-01-03 00:15:00,Workstations,0.762,21.4,4
2025-01-03 00:30:00,HVAC,5.368,18.5,4
2025-01-03 00:45:00,Servers,12.69,20.7,1
2025-01-03 01:00:00,Servers,13.512,21.6,1
2025-01-03 01:15:00,Lighting,0.857,21.0,3
2025-01-03 01:30:00,Lighting,0.428,22.5,5
2025-01-03 01:45:00,HVAC,4.481,16.3,2
2025-01-03 02:00:00,Machinery,0.0,24.6,1
2025-01-03 02:15:00,HVAC,4.642,18.0,3
2025-01-03 02:30:00,Machinery,0.0,24.0,2
2025-01-03 02:45:00,Machinery,0.0,23.5,2
2025-01-03 03:00:00,Servers,13.357,22.3,4
2025-01-03 03:15:00,Machinery,0.0,22.4,2
2025-01-03 03:30:00,Machinery,0.0,22.8,4
2025-01-03 03:45:00,Workstations,0.262,22.2,2
2025-01-03 04:00:00,Lighting,0.266,23.5,5
2025-01-03 04:15:00,Lighting,0.876,22.4,1
2025-01-03 04:30:00,Servers,13.424,22.0,4
2025-01-03 04:45:00,Lighting,0.117,21.9,3
2025-01-03 05:00:00,Workstations,0.253,21.5,3
2025-01-03 05:15:00,Workstations,0.358,21.8,5
2025-01-03 05:30:00,Machinery,0.0,27.0,5
2025-01-03 05:45:00,Workstations,0.732,20.9,0
2025-01-03 06:00:00,Workstations,0.145,23.0,3
2025-01-03 06:15:00,Lighting,0.722,22.9,2
2025-01-03 06:30:00,Machinery,0.0,27.1,4
2025-01-03 06:45:00,Machinery,0.0,25.7,3
2025-01-03 07:00:00,Lighting,0.874,21.2,2
2025-01-03 07:15:00,Workstations,0.666,22.6,1
2025-01-03 07:30:00,Machinery,0.0,24.5,5
2025-01-03 07:45:00,Machinery,0.0,27.3,2
2025-01-03 08:00:00,Servers,12.491,20.2,83
2025-01-03 08:15:00,HVAC,11.793,21.6,30
2025-01-03 08:30:00,Servers,13.294,22.7,103
2025-01-03 08:45:00,Workstations,6.333,22.5,52
2025-01-03 09:00:00,HVAC,20.752,24.9,133
2025-01-03 09:15:00,Workstations,7.889,22.8,100
2025-01-03 09:30:00,Servers,15.524,20.9,86
2025-01-03 09:45:00,Servers,15.764,19.1,42
2025-01-03 10:00:00,HVAC,17.557,23.8,140
2025-01-03 10:15:00,Machinery,43.399,26.4,95
2025-01-03 10:30:00,Workstations,1.929,21.5,105
2025-01-03 10:45:00,Servers,13.881,20.0,144
2025-01-03 11:00:00,HVAC,21.204,20.1,109
2025-01-03 11:15:00,Workstations,3.909,21.3,53
2025-01-03 11:30:00,Lighting,3.378,21.0,140
2025-01-03 11:45:00,Machinery,34.304,22.8,74
2025-01-03 12:00:00,Machinery,48.05,22.7,86
2025-01-03 12:15:00,Machinery,25.333,22.2,38
2025-01-03 12:30:00,Lighting,5.446,22.3,75
2025-01-03 12:45:00,Machinery,35.284,27.1,104
2025-01-03 13:00:00,Machinery,28.111,24.7,111
2025-01-03 13:15:00,Lighting,4.429,23.2,63
2025-01-03 13:30:00,Workstations,7.887,23.5,73
2025-01-03 13:45:00,Machinery,44.265,22.8,72
2025-01-03 14:00:00,Workstations,4.713,22.4,131
2025-01-03 14:15:00,Workstations,2.776,20.7,91
2025-01-03 14:30:00,Machinery,29.119,24.2,73
2025-01-03 14:45:00,Machinery,43.716,24.4,44
2025-01-03 15:00:00,Workstations,6.739,21.8,37
2025-01-03 15:15:00,Servers,14.659,20.9,61
2025-01-03 15:30:00,Workstations,5.214,21.6,72
2025-01-03 15:45:00,Workstations,1.903,23.1,53
2025-01-03 16:00:00,Lighting,7.267,23.5,99
2025-01-03 16:15:00,Workstations,5.463,21.8,132
2025-01-03 16:30:00,Workstations,7.999,22.4,22
2025-01-03 16:45:00,Lighting,1.721,21.6,21
2025-01-03 17:00:00,Machinery,47.556,25.8,82
2025-01-03 17:15:00,Workstations,6.22,20.8,78
2025-01-03 17:30:00,Workstations,1.449,22.0,126
2025-01-03 17:45:00,HVAC,25.854,20.7,39
2025-01-03 18:00:00,Machinery,22.607,26.8,113
2025-01-03 18:15:00,Workstations,7.062,22.3,111
2025-01-03 18:30:00,Servers,14.891,19.9,53
2025-01-03 18:45:00,Lighting,5.545,21.9,102
2025-01-03 19:00:00,HVAC,3.484,19.0,2
2025-01-03 19:15:00,Machinery,0.0,24.3,1
2025-01-03 19:30:00,Servers,14.723,22.2,5
2025-01-03 19:45:00,Lighting,0.279,22.8,1
2025-01-03 20:00:00,Workstations,0.665,23.2,1
2025-01-03 20:15:00,Machinery,0.0,22.2,2
2025-01-03 20:30:00,Lighting,0.324,20.8,3
2025-01-03 20:45:00,Lighting,0.22,21.9,5
2025-01-03 21:00:00,Workstations,0.909,22.5,1
2025-01-03 21:15:00,Workstations,0.811,22.4,5
2025-01-03 21:30:00,Servers,14.941,19.6,3
2025-01-03 21:45:00,Lighting,0.422,22.4,2
2025-01-03 22:00:00,Lighting,0.332,20.7,4
2025-01-03 22:15:00,Workstations,0.142,23.1,2
2025-01-03 22:30:00,Lighting,0.955,22.9,2
2025-01-03 22:45:00,Servers,13.211,20.6,3
2025-01-03 23:00:00,Machinery,0.0,22.0,4
2025-01-03 23:15:00,Lighting,0.532,23.1,1
2025-01-03 23:30:00,Lighting,0.869,20.6,1
2025-01-03 23:45:00,Servers,15.268,22.0,0
2025-01-04 00:00:00,Workstations,0.595,20.7,2
2025-01-04 00:15:00,Machinery,0.0,22.6,4
2025-01-04 00:30:00,HVAC,6.508,18.2,2
2025-01-04 00:45:00,Lighting,0.894,22.3,3
2025-01-04 01:00:00,Workstations,0.765,23.3,0
2025-01-04 01:15:00,Servers,14.201,20.8,5
2025-01-04 01:30:00,Servers,12.118,22.6,1
2025-01-04 01:45:00,Servers,13.815,19.0,3
2025-01-04 02:00:00,Machinery,0.0,27.5,0
2025-01-04 02:15:00,Machinery,0.0,25.9,3
2025-01-04 02:30:00,Machinery,0.0,22.0,4
2025-01-04 02:45:00,Machinery,0.0,24.7,5
2025-01-04 03:00:00,Lighting,0.334,23.0,2
2025-01-04 03:15:00,Lighting,0.646,23.0,4
2025-01-04 03:30:00,Workstations,0.796,21.2,5
2025-01-04 03:45:00,HVAC,6.287,16.2,4
2025-01-04 04:00:00,Servers,14.8,20.2,2
2025-01-04 04:15:00,Servers,14.808,21.3,5
2025-01-04 04:30:00,HVAC,9.846,17.2,3
2025-01-04 04:45:00,Machinery,0.0,24.7,4
2025-01-04 05:00:00,Servers,12.952,21.7,5
2025-01-04 05:15:00,HVAC,3.385,17.0,0
2025-01-04 05:30:00,HVAC,2.954,19.8,1
2025-01-04 05:45:00,Machinery,0.0,25.6,2
2025-01-04 06:00:00,Machinery,0.0,23.6,5
2025-01-04 06:15:00,Servers,13.547,19.4,5
2025-01-04 06:30:00,Machinery,0.0,24.0,0
2025-01-04 06:45:00,HVAC,2.285,19.8,3
2025-01-04 07:00:00,Machinery,0.0,24.6,4
2025-01-04 07:15:00,HVAC,6.399,17.2,1
2025-01-04 07:30:00,Lighting,0.251,23.4,0
2025-01-04 07:45:00,Workstations,0.348,23.1,0
2025-01-04 08:00:00,Servers,12.666,22.1,61
2025-01-04 08:15:00,Machinery,29.521,22.9,133
2025-01-04 08:30:00,Workstations,6.841,20.6,93
2025-01-04 08:45:00,HVAC,25.227,24.0,147
2025-01-04 09:00:00,Servers,15.368,20.4,81
2025-01-04 09:15:00,Machinery,23.049,25.3,121
2025-01-04 09:30:00,Servers,12.177,21.1,122
2025-01-04 09:45:00,Lighting,4.641,21.1,146
2025-01-04 10:00:00,Machinery,27.727,26.9,137
2025-01-04 10:15:00,Lighting,7.478,22.0,45
2025-01-04 10:30:00,Servers,12.635,21.1,95
2025-01-04 10:45:00,Servers,12.853,19.4,92
2025-01-04 11:00:00,Machinery,44.642,26.6,138
2025-01-04 11:15:00,Machinery,20.166,26.6,82
2025-01-04 11:30:00,Workstations,5.042,21.7,56
2025-01-04 11:45:00,Workstations,1.259,21.9,86
2025-01-04 12:00:00,Servers,13.53,21.5,81
2025-01-04 12:15:00,Workstations,2.75,21.0,39
2025-01-04 12:30:00,Machinery,45.448,26.1,85
2025-01-04 12:45:00,Servers,12.19,20.4,80
2025-01-04 13:00:00,Machinery,28.842,23.0,55
2025-01-04 13:15:00,Lighting,3.495,22.3,137
2025-01-04 13:30:00,Servers,12.536,22.5,124
2025-01-04 13:45:00,HVAC,10.371,20.6,96
2025-01-04 14:00:00,HVAC,25.295,22.6,86
2025-01-04 14:15:00,HVAC,20.48,24.7,29
2025-01-04 14:30:00,Servers,15.428,22.2,56
2025-01-04 14:45:00,Lighting,2.875,22.0,25
2025-01-04 15:00:00,Machinery,48.609,26.6,116
2025-01-04 15:15:00,Workstations,3.915,21.2,75
2025-01-04 15:30:00,Servers,14.615,19.1,146
2025-01-04 15:45:00,Workstations,2.276,21.0,123
2025-01-04 16:00:00,Servers,12.863,23.0,147
2025-01-04 16:15:00,Workstations,1.361,20.9,92
2025-01-04 16:30:00,HVAC,19.665,23.2,137
2025-01-04 16:45:00,Servers,13.438,22.8,21
2025-01-04 17:00:00,Workstations,3.37,20.6,31
2025-01-04 17:15:00,HVAC,18.855,24.3,140
2025-01-04 17:30:00,Workstations,7.589,21.0,58
2025-01-04 17:45:00,Lighting,1.058,21.3,126
2025-01-04 18:00:00,HVAC,10.371,23.1,55
2025-01-04 18:15:00,Lighting,7.82,23.1,41
2025-01-04 18:30:00,Servers,12.893,22.8,25
2025-01-04 18:45:00,Machinery,29.71,27.6,64
2025-01-04 19:00:00,Machinery,0.0,22.6,2
2025-01-04 19:15:00,Machinery,0.0,23.9,2
2025-01-04 19:30:00,Machinery,0.0,27.9,4
2025-01-04 19:45:00,HVAC,4.99,16.3,5
2025-01-04 20:00:00,Servers,12.011,20.4,2
2025-01-04 20:15:00,Servers,12.983,19.1,4
2025-01-04 20:30:00,Lighting,0.412,21.2,4
2025-01-04 20:45:00,Workstations,0.232,22.1,3
2025-01-04 21:00:00,Servers,15.5,21.4,0
2025-01-04 21:15:00,HVAC,5.747,17.7,3
2025-01-04 21:30:00,Machinery,0.0,23.6,4
2025-01-04 21:45:00,Machinery,0.0,26.9,3
2025-01-04 22:00:00,Machinery,0.0,25.0,0
2025-01-04 22:15:00,Servers,13.523,20.8,3
2025-01-04 22:30:00,HVAC,2.581,15.2,3
2025-01-04 22:45:00,Workstations,0.146,22.8,4
2025-01-04 23:00:00,Workstations,0.564,21.9,1
2025-01-04 23:15:00,Workstations,0.826,21.8,0
2025-01-04 23:30:00,HVAC,9.806,15.9,1
2025-01-04 23:45:00,Lighting,0.148,22.7,0
2025-01-05 00:00:00,Lighting,0.822,22.7,3
2025-01-05 00:15:00,HVAC,2.386,17.6,2
2025-01-05 00:30:00,Machinery,0.0,23.5,1
2025-01-05 00:45:00,HVAC,2.756,19.3,4
2025-01-05 01:00:00,Machinery,0.0,25.8,4
2025-01-05 01:15:00,Lighting,0.704,23.0,2
2025-01-05 01:30:00,Servers,12.32,19.5,5
2025-01-05 01:45:00,Servers,15.924,19.1,2
2025-01-05 02:00:00,Lighting,0.981,22.0,4
2025-01-05 02:15:00,Lighting,0.292,22.2,3
2025-01-05 02:30:00,Lighting,0.456,20.8,4
2025-01-05 02:45:00,Servers,14.485,19.1,4
2025-01-05 03:00:00,Lighting,0.502,21.5,4
2025-01-05 03:15:00,Machinery,0.0,26.4,2
2025-01-05 03:30:00,Workstations,0.41,21.4,5
2025-01-05 03:45:00,Lighting,0.579,23.2,3
2025-01-05 04:00:00,Servers,13.582,21.4,2
2025-01-05 04:15:00,HVAC,6.986,18.5,0
2025-01-05 04:30:00,Servers,15.292,19.9,4
2025-01-05 04:45:00,HVAC,3.143,16.6,3
2025-01-05 05:00:00,HVAC,8.836,17.9,4
2025-01-05 05:15:00,Machinery,0.0,25.7,4
2025-01-05 05:30:00,Lighting,0.806,22.9,0
2025-01-05 05:45:00,Workstations,0.879,22.3,3
2025-01-05 06:00:00,Machinery,0.0,26.4,0
2025-01-05 06:15:00,Workstations,0.493,23.2,3
2025-01-05 06:30:00,Machinery,0.0,26.0,0
2025-01-05 06:45:00,Machinery,0.0,23.0,5
2025-01-05 07:00:00,Lighting,0.648,21.1,4
2025-01-05 07:15:00,Lighting,0.677,21.9,3
2025-01-05 07:30:00,Workstations,0.53,21.4,0
2025-01-05 07:45:00,Workstations,0.235,21.9,4
2025-01-05 08:00:00,HVAC,17.787,24.0,52
2025-01-05 08:15:00,Machinery,32.228,22.0,119
2025-01-05 08:30:00,Workstations,4.053,22.6,147
2025-01-05 08:45:00,Lighting,6.228,21.0,90
2025-01-05 09:00:00,Workstations,5.103,22.7,109
2025-01-05 09:15:00,Lighting,6.169,22.5,112
2025-01-05 09:30:00,Lighting,5.171,23.5,21
2025-01-05 09:45:00,Workstations,1.265,22.3,89
2025-01-05 10:00:00,HVAC,20.634,21.2,110
2025-01-05 10:15:00,Servers,15.173,20.5,64
2025-01-05 10:30:00,HVAC,19.468,22.4,30
2025-01-05 10:45:00,Servers,13.797,22.1,149
2025-01-05 11:00:00,Workstations,4.793,21.1,52
2025-01-05 11:15:00,Machinery,35.405,23.0,142
2025-01-05 11:30:00,HVAC,11.089,21.0,141
2025-01-05 11:45:00,Lighting,4.16,22.9,47
2025-01-05 12:00:00,Lighting,5.954,20.9,57
2025-01-05 12:15:00,Workstations,5.562,21.6,109
2025-01-05 12:30:00,HVAC,25.813,21.4,146
2025-01-05 12:45:00,Workstations,7.385,22.1,130
2025-01-05 13:00:00,Workstations,2.53,23.2,59
2025-01-05 13:15:00,Servers,15.761,21.2,68
2025-01-05 13:30:00,Servers,14.363,22.4,136
2025-01-05 13:45:00,Lighting,6.111,21.5,54
2025-01-05 14:00:00,Servers,14.35,21.9,51
2025-01-05 14:15:00,Machinery,39.945,28.0,132
2025-01-05 14:30:00,Lighting,4.49,22.0,85
2025-01-05 14:45:00,Workstations,3.12,22.1,51
2025-01-05 15:00:00,Machinery,28.109,25.4,130
2025-01-05 15:15:00,Servers,15.143,21.3,119
2025-01-05 15:30:00,HVAC,23.193,21.7,145
2025-01-05 15:45:00,Servers,12.918,21.2,111
2025-01-05 16:00:00,Servers,12.568,20.9,148
2025-01-05 16:15:00,Servers,15.899,20.1,86
2025-01-05 16:30:00,HVAC,19.611,21.9,149
2025-01-05 16:45:00,Machinery,46.048,27.3,119
2025-01-05 17:00:00,Workstations,7.376,22.6,122
2025-01-05 17:15:00,Workstations,1.187,21.4,50
2025-01-05 17:30:00,Servers,13.512,22.0,131
2025-01-05 17:45:00,HVAC,13.747,21.3,120
2025-01-05 18:00:00,Lighting,1.469,22.4,82
2025-01-05 18:15:00,HVAC,21.192,20.5,147
2025-01-05 18:30:00,Workstations,1.269,21.0,91
2025-01-05 18:45:00,Machinery,35.58,26.5,83
2025-01-05 19:00:00,Workstations,0.934,22.4,1
2025-01-05 19:15:00,Workstations,0.249,22.9,4
2025-01-05 19:30:00,HVAC,5.208,19.4,4
2025-01-05 19:45:00,HVAC,7.893,15.8,2
2025-01-05 20:00:00,Servers,14.052,21.4,0
2025-01-05 20:15:00,Lighting,0.443,20.9,3
2025-01-05 20:30:00,Lighting,0.726,22.9,5
2025-01-05 20:45:00,Workstations,0.498,22.9,5
2025-01-05 21:00:00,Lighting,0.517,23.4,3
2025-01-05 21:15:00,HVAC,9.883,15.7,0
2025-01-05 21:30:00,Servers,14.212,22.8,2
2025-01-05 21:45:00,Lighting,0.215,23.4,5
2025-01-05 22:00:00,Lighting,0.26,21.9,4
2025-01-05 22:15:00,HVAC,9.86,17.2,2
2025-01-05 22:30:00,HVAC,9.583,16.8,2
2025-01-05 22:45:00,Machinery,0.0,24.1,3
2025-01-05 23:00:00,Lighting,0.328,21.0,4
2025-01-05 23:15:00,Servers,14.842,21.2,2
2025-01-05 23:30:00,HVAC,4.974,16.6,3
2025-01-05 23:45:00,HVAC,6.725,18.3,5
2025-01-06 00:00:00,Lighting,0.875,21.3,0
2025-01-06 00:15:00,Machinery,0.0,22.6,1
2025-01-06 00:30:00,Lighting,0.749,20.9,3
2025-01-06 00:45:00,Servers,15.082,19.7,5
2025-01-06 01:00:00,Lighting,0.109,22.2,1
2025-01-06 01:15:00,Machinery,0.0,23.4,0
2025-01-06 01:30:00,Lighting,0.826,21.8,4
2025-01-06 01:45:00,Servers,12.376,19.7,2
2025-01-06 02:00:00,Machinery,0.0,27.7,2
2025-01-06 02:15:00,Workstations,0.375,23.0,1
2025-01-06 02:30:00,Machinery,0.0,22.2,2
2025-01-06 02:45:00,Lighting,0.77,22.4,3
2025-01-06 03:00:00,Machinery,0.0,23.9,1
2025-01-06 03:15:00,Lighting,0.101,21.1,2
2025-01-06 03:30:00,Workstations,0.65,20.9,1
2025-01-06 03:45:00,Servers,15.208,20.1,5
2025-01-06 04:00:00,Machinery,0.0,27.2,5
2025-01-06 04:15:00,Machinery,0.0,24.8,2
2025-01-06 04:30:00,Lighting,0.75,21.0,3
2025-01-06 04:45:00,Lighting,0.698,22.7,2
2025-01-06 05:00:00,Lighting,0.929,22.2,0
2025-01-06 05:15:00,Workstations,0.278,21.0,2
